DENOMINAZIONE,RETTORE_DIRETTORE,INDIRIZZO,CAP,COMUNE,CIVICO,EMAIL,TELEFONO,FAX,iscritti_aa_2013_2014,iscritti_aa_2012_2013,iscritti_aa_2011_2012,iscritti_aa_2010_2011,iscritti_aa_2009_2010,borse_aa_2013_2014,borse_aa_2012_2013,borse_aa_2011_2012,borse_aa_2010_2011,borse_aa_2009_2010,coorY,coorX,location
ACCADEMIA DI BELLE ARTI DI BRERA,Franco Marrocco,Via Brera,20121,Milano,28,direttore@accademiadibrera.milano.it,02.869551,0286403643,3578,3602,3343,2686,2667,126,278,164,110,218,45.46996085,9.18791095,"(45.46996085, 9.18791095)"
ACCADEMIA DI BELLE ARTI A.C.M.E.- MILANO,Walter Bacchella,Via Cagnola,20154,Milano,17,acme.milano@tin.it,02.780517,0245480749,152,155,145,135,122,7,6,6,3,5,45.47953679,9.17293596,"(45.47953679, 9.17293596)"
ACCADEMIA DI BELLE ARTI SANTA GIULIA - BRESCIA,Riccardo Romagnoli,Via N. Tommaseo,25128,Brescia,49,direzione@accademiasantagiulia.it,030.383368,0303389557,652,626,600,525,474,11,10,10,7,31,45.55120497,10.21395831,"(45.55120497, 10.21395831)"
ACCADEMIA L.A.B.A. - BRESCIA,Roberto Dolzanelli,Via Don G. Vender,25128,Brescia,66,info@laba.edu,030.380894,0303391503,791,760,766,744,650,27,29,30,25,53,45.55978042,10.20318641,"(45.55978042, 10.20318641)"
"ACCADEMIA DI BELLE ARTI ""A.GALLI"" - COMO",,Via Petrarca,22100,Como,9,info@accademiagalli.com,031.30.14.30,031302418,131,101,117,76,58,1,1,1,1,2,45.80617779,9.09217337,"(45.80617779, 9.09217337)"
"ACCADEMIA DI BELLE ARTI ""CARRARA"" - BERGAMO",Alessandra Pioselli,Piazza G. Carrara,24121,Bergamo,82,direzione@accademiabellearti.bg.it,035.399563,035245442,156,142,132,135,116,10,6,5,3,8,45.70358558,9.67558665,"(45.70358558, 9.67558665)"
"CONSERVATORIOdi MUSICA ""G.VERDI""MILANO",Alessandro Melchiorre,Via Conservatorio,20122,Milano,12,organizzazione@consmilano.it,02.762110,0276014814,522,480,470,393,511,14,11,6,13,14,45.46438111,9.20315471,"(45.46438111, 9.20315471)"
"CONSERVATORIO di MUSICA ""G. VERDI"" COMO",Bruno Raffaele Foti,Via Cadorna,22100,Como,4,presidente@conservatoriocomo.it,031.279827,031266817,179,172,196,203,211,2,2,2,5,5,45.8048946,9.08421695,"(45.8048946, 9.08421695)"
"CONSERVATORIO DI MUSICA ""L. CAMPIANI"" - MANTOVA",Salvatore Dario Spanò,Via della Conciliazione,46100,Mantova,33,segreteria@conservatoriomantova.com,0376.324636,0376368362,138,132,105,57,25,0,0,0,0,0,45.15427066,10.78431419,"(45.15427066, 10.78431419)"
"ISTITUTO MUSICALE PAREGGIATO ""G. DONIZETTI"" - BERGAMO",Emanuele Beschi,Via Scotti,24122,Bergamo,17,segreteria@issmdonizetti.it,035.237374,0354135133,60,57,47,42,40,7,3,4,2,0,45.69116934,9.66876424,"(45.69116934, 9.66876424)"
LIBERA UNIVERSITA' DI LINGUE E COMUNICAZIONE I.U.L.M.,Giovanni Puglisi,Via Carlo Bo,20143,Milano,1,segreteria.rettorato@iulm.it,02/891412316 - 891412415,,3541,3539,4484,4531,4412,165,158,141,137,178,45.44321245,9.163688,"(45.44321245, 9.163688)"
NUOVA ACCADEMIA DI BELLE ARTI - N.A.B.A. - MILANO,Elisabetta galasso,Via Darwin,20143,Milano,20,segreteria@naba.it,02.973721,0297372280,1880,1595,1548,1392,1291,57,28,50,59,48,45.44546044,9.1746841,"(45.44546044, 9.1746841)"
"ISTITUTO MUSICALE PAREGGIATO ""C.MONTEVERDI"" - CREMONA",Loris Pezzani,Via Realdo Colombo,26100,Cremona,1,direzione@istitutomonteverdi.it,0372.22423,0372530414,20,24,20,17,28,0,0,0,0,0,45.13155329,10.02802194,"(45.13155329, 10.02802194)"
"ISTITUTO CIVICO MUSICALE PAREGGIATO ""G. PUCCINI"" GALLARATE",Sergio Gianzini,Via Dante,21013,Gallarate,11,puccini@comune.gallarate.va.it,0331.790202,0331799730,18,20,21,10,6,0,0,0,0,0,45.66474834,8.78839205,"(45.66474834, 8.78839205)"
"ISTITUTO MUSICALE PAREGGIATO ""F. VITTADINI"" - PAVIA",Maurizio Preda,Via A. Volta,27100,Pavia,31,segreteria@istitutovittadini.it,0382.1711127,0382309373,56,61,71,58,55,2,2,2,2,4,45.18649042,9.16207593,"(45.18649042, 9.16207593)"
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI SOCIETA' UMANITARIA - MILANO,,Via Daverio,20122,Milano,7,umanitaria@umanitaria.it,02.5796831,025111846,29,33,27,22,17,0,0,0,2,1,45.4592021,9.20073839,"(45.4592021, 9.20073839)"
"SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI ""CARLO BO'"" - MILANO",,Via Simone Martini,20143,Milano,23,sede.mi@ssmlcarlobo.it,02.81.80.85.55,0281808527,703,611,632,556,459,26,17,19,23,34,45.440372,9.1594924,"(45.440372, 9.1594924)"
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI - VARESE,,Via Cavour,21100,Varese,30,direzione@ssml-varese.it,0332.237304,0332240455,140,149,140,125,125,8,15,13,14,9,45.81918135,8.82951075,"(45.81918135, 8.82951075)"
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI -SCUOLE CIVICHE - MILANO,Pietro Schenone,Via Alex Visconti,20151,Milano,18,p.schenone@fondazionemilano.eu,02-971523,02-36661431,348,147,143,156,200,12,7,16,12,32,45.50423157,9.09988294,"(45.50423157, 9.09988294)"
ISTITUTO EUROPEO di DESIGN IED,,Via Amatore Sciesa,20135,Milano,4,,02 5796951,02 55012613,2906,1770,941,,,19,12,13,,,45.46166838,9.20948291,"(45.46166838, 9.20948291)"
UNIVERSITA' DEGLI STUDI DELL'INSUBRIA,Alberto Coen Porisini,Via Ravasi,21100,Varese,22,rettore@uninsubria.it,0332-219001 / 2,0332-219009,8580,8555,9416,9825,9838,178,146,132,165,215,45.81326065,8.82871176,"(45.81326065, 8.82871176)"
"CONSERVATORIO DI MUSICA ""L. MARENZIO"" - BRESCIA",Ruggero Ruocco,Piazza Arturo Benedetti Michelangeli,25121,Brescia,1,segreteria@conservatorio.brescia.it,030.2886711,030.3770337,158,120,98,91,70,9,3,4,1,3,45.535906,10.225935,"(45.535906, 10.225935)"
